DEBUG 2025-01-07 08:55:42,237 autoreload File C:\Program Files\Python312\Lib\lzma.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,237 autoreload File C:\Program Files\Python312\Lib\asyncio\selector_events.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,237 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\template\context.py first seen with mtime 1735806872.0542006
DEBUG 2025-01-07 08:55:42,237 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1735806868.3198245
DEBUG 2025-01-07 08:55:42,237 autoreload File D:\myproject\manage.py first seen with mtime 1735807289.3230214
DEBUG 2025-01-07 08:55:42,254 autoreload File D:\myproject\car\__init__.py first seen with mtime 1735809172.6970203
DEBUG 2025-01-07 08:55:42,254 autoreload File C:\Program Files\Python312\Lib\wsgiref\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,254 autoreload File C:\Program Files\Python312\Lib\numbers.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,254 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\template\utils.py first seen with mtime 1735806872.085452
DEBUG 2025-01-07 08:55:42,262 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\renderers.py first seen with mtime 1735809097.3971004
DEBUG 2025-01-07 08:55:42,263 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\checks\database.py first seen with mtime 1735806871.6635783
DEBUG 2025-01-07 08:55:42,264 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\choices.py first seen with mtime 1735806872.132326
DEBUG 2025-01-07 08:55:42,264 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1735806871.632331
DEBUG 2025-01-07 08:55:42,265 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\response.py first seen with mtime 1735809097.3971004
DEBUG 2025-01-07 08:55:42,266 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\files\locks.py first seen with mtime 1735806871.6948266
DEBUG 2025-01-07 08:55:42,268 autoreload File C:\Program Files\Python312\Lib\types.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1735806871.8979526
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\markdown\preprocessors.py first seen with mtime 1730708424.6228015
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1735806871.8354511
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Program Files\Python312\Lib\uuid.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\module_loading.py first seen with mtime 1735806872.1635747
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Program Files\Python312\Lib\datetime.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Program Files\Python312\Lib\site-packages\yaml\emitter.py first seen with mtime 1719049333.088249
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\checks\__init__.py first seen with mtime 1735806871.6635783
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1735809097.6158493
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Program Files\Python312\Lib\http\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,270 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\formatters\_mapping.py first seen with mtime 1705780573.576662
DEBUG 2025-01-07 08:55:42,287 autoreload File D:\myproject\car\serializer.py first seen with mtime 1735877545.6591592
DEBUG 2025-01-07 08:55:42,287 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1735806871.632331
DEBUG 2025-01-07 08:55:42,287 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\utils.py first seen with mtime 1735803648.5636885
DEBUG 2025-01-07 08:55:42,287 autoreload File C:\Program Files\Python312\Lib\site-packages\yaml\serializer.py first seen with mtime 1719049333.1262262
DEBUG 2025-01-07 08:55:42,297 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1735806868.3041985
DEBUG 2025-01-07 08:55:42,298 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1735806868.3198245
DEBUG 2025-01-07 08:55:42,299 autoreload File C:\Program Files\Python312\Lib\asyncio\timeouts.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,299 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1735806870.4760754
DEBUG 2025-01-07 08:55:42,300 autoreload File C:\Program Files\Python312\Lib\http\cookiejar.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,301 autoreload File C:\Program Files\Python312\DLLs\_socket.pyd first seen with mtime 1717678502.0
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\fields\__init__.py first seen with mtime 1735806871.8823373
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\models.py first seen with mtime 1735806867.538575
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\win32\lib\pywin32_bootstrap.py first seen with mtime 1705780555.351909
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\deconstruct.py first seen with mtime 1735806872.147951
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\serializers\json.py first seen with mtime 1735806871.7573285
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\connection.py first seen with mtime 1735806872.132326
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Program Files\Python312\Lib\contextlib.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Program Files\Python312\Lib\importlib\resources\_legacy.py first seen with mtime 1717678452.0
